开始节点,开始节点类型,关系,结束节点,结束节点类型,文本
废气污染源排放特征表,制药建设项目,包含,排放规律,制药建设项目,a）废气污染源排放特征表应包括：污染源名称、所在装置、编号、废气排放量（m3/h 或 m3/d）、 污染物名称、污染物质量浓度（mg/m3）、污染物排放速率（kg/h）、排放规律（连续或间断，间
污染源编号,制药建设项目,对应,工艺流程图,制药建设项目,根据工艺原理和流程，分析污染源排放的主要污染物，给出污染源排放特 征表，表中污染源编号与工艺流程图对应。
废气污染源排放特征表,制药建设项目,包含,编号,制药建设项目,a）废气污染源排放特征表应包括：污染源名称、所在装置、编号、废气排放量（m3/h 或 m3/d）、 污染物名称、污染物质量浓度（mg/m3）、污染物排放速率（kg/h）、排放规律（连续或间断，间 断排放的给出单位时间内的排放次数，每次持续的时间）、处理措施、排气筒高度（m）、内径 （m）、排气温度（℃）、排放去向、无组织废气排放特征及污染物全年排放总量。
废气污染源排放特征表,制药建设项目,包含,废气排放量,制药建设项目,a）废气污染源排放特征表应包括：污染源名称、所在装置、编号、废气排放量（m3/h 或 m3/d）、 污染物名称、污染物质量浓度（mg/m3）、污染物排放速率（kg/h）、排放规律（连续或间断，间 断排放的给出单位时间内的排放次数，每次持续的时间）、处理措施、排气筒高度（m）、内径 （m）、排气温度（℃）、排放去向、无组织废气排放特征及污染物全年排放总量。
废气污染源排放特征表,制药建设项目,包含,污染物名称,制药建设项目,a）废气污染源排放特征表应包括：污染源名称、所在装置、编号、废气排放量（m3/h 或 m3/d）、 污染物名称、污染物质量浓度（mg/m3）、污染物排放速率（kg/h）、排放规律（连续或间断，间 断排放的给出单位时间内的排放次数，每次持续的时间）、处理措施、排气筒高度（m）、内径 （m）、排气温度（℃）、排放去向、无组织废气排放特征及污染物全年排放总量。
废气污染源排放特征表,制药建设项目,包含,污染物排放速率,制药建设项目,a）废气污染源排放特征表应包括：污染源名称、所在装置、编号、废气排放量（m3/h 或 m3/d）、 污染物名称、污染物质量浓度（mg/m3）、污染物排放速率（kg/h）、排放规律（连续或间断，间 断排放的给出单位时间内的排放次数，每次持续的时间）、处理措施、排气筒高度（m）、内径 （m）、排气温度（℃）、排放去向、无组织废气排放特征及污染物全年排放总量。
废气污染源排放特征表,制药建设项目,包含,处理措施,制药建设项目,a）废气污染源排放特征表应包括：污染源名称、所在装置、编号、废气排放量（m3/h 或 m3/d）、 污染物名称、污染物质量浓度（mg/m3）、污染物排放速率（kg/h）、排放规律（连续或间断，间 断排放的给出单位时间内的排放次数，每次持续的时间）、处理措施、排气筒高度（m）、内径 （m）、排气温度（℃）、排放去向、无组织废气排放特征及污染物全年排放总量。
废气污染源排放特征表,制药建设项目,包含,排气筒高度,制药建设项目,a）废气污染源排放特征表应包括：污染源名称、所在装置、编号、废气排放量（m3/h 或 m3/d）、 污染物名称、污染物质量浓度（mg/m3）、污染物排放速率（kg/h）、排放规律（连续或间断，间 断排放的给出单位时间内的排放次数，每次持续的时间）、处理措施、排气筒高度（m）、内径 （m）、排气温度（℃）、排放去向、无组织废气排放特征及污染物全年排放总量。
废气污染源排放特征表,制药建设项目,包含,内径,制药建设项目,a）废气污染源排放特征表应包括：污染源名称、所在装置、编号、废气排放量（m3/h 或 m3/d）、 污染物名称、污染物质量浓度（mg/m3）、污染物排放速率（kg/h）、排放规律（连续或间断，间 断排放的给出单位时间内的排放次数，每次持续的时间）、处理措施、排气筒高度（m）、内径 （m）、排气温度（℃）、排放去向、无组织废气排放特征及污染物全年排放总量。
废气污染源排放特征表,制药建设项目,包含,排气温度,制药建设项目,a）废气污染源排放特征表应包括：污染源名称、所在装置、编号、废气排放量（m3/h 或 m3/d）、 污染物名称、污染物质量浓度（mg/m3）、污染物排放速率（kg/h）、排放规律（连续或间断，间 断排放的给出单位时间内的排放次数，每次持续的时间）、处理措施、排气筒高度（m）、内径 （m）、排气温度（℃）、排放去向、无组织废气排放特征及污染物全年排放总量。
废气污染源排放特征表,制药建设项目,包含,排放去向,制药建设项目,a）废气污染源排放特征表应包括：污染源名称、所在装置、编号、废气排放量（m3/h 或 m3/d）、 污染物名称、污染物质量浓度（mg/m3）、污染物排放速率（kg/h）、排放规律（连续或间断，间 断排放的给出单位时间内的排放次数，每次持续的时间）、处理措施、排气筒高度（m）、内径 （m）、排气温度（℃）、排放去向、无组织废气排放特征及污染物全年排放总量。
废气污染源排放特征表,制药建设项目,包含,无组织废气排放特征,制药建设项目,a）废气污染源排放特征表应包括：污染源名称、所在装置、编号、废气排放量（m3/h 或 m3/d）、 污染物名称、污染物质量浓度（mg/m3）、污染物排放速率（kg/h）、排放规律（连续或间断，间 断排放的给出单位时间内的排放次数，每次持续的时间）、处理措施、排气筒高度（m）、内径 （m）、排气温度（℃）、排放去向、无组织废气排放特征及污染物全年排放总量。
废气污染源排放特征表,制药建设项目,包含,污染物全年排放总量,制药建设项目,a）废气污染源排放特征表应包括：污染源名称、所在装置、编号、废气排放量（m3/h 或 m3/d）、 污染物名称、污染物质量浓度（mg/m3）、污染物排放速率（kg/h）、排放规律（连续或间断，间 断排放的给出单位时间内的排放次数，每次持续的时间）、处理措施、排气筒高度（m）、内径 （m）、排气温度（℃）、排放去向、无组织废气排放特征及污染物全年排放总量。
废水污染源排放特征表,制药建设项目,包含,废水污染源名称,制药建设项目,a）废气污染源排放特征表应包括：污染源名称、所在装置、编号、废气排放量（m3/h 或 m3/d）、 污染物名称、污染物质量浓度（mg/m3）、污染物排放速率（kg/h）、排放规律（连续或间断，间 断排放的给出单位时间内的排放次数，每次持续的时间）、处理措施、排气筒高度（m）、内径 （m）、排气温度（℃）、排放去向、无组织废气排放特征及污染物全年排放总量。
废水污染源排放特征表,制药建设项目,包含,所在装置,制药建设项目,a）废气污染源排放特征表应包括：污染源名称、所在装置、编号、废气排放量（m3/h 或 m3/d）、 污染物名称、污染物质量浓度（mg/m3）、污染物排放速率（kg/h）、排放规律（连续或间断，间 断排放的给出单位时间内的排放次数，每次持续的时间）、处理措施、排气筒高度（m）、内径 （m）、排气温度（℃）、排放去向、无组织废气排放特征及污染物全年排放总量。
废水污染源排放特征表,制药建设项目,包含,废水排放量,制药建设项目,a）废气污染源排放特征表应包括：污染源名称、所在装置、编号、废气排放量（m3/h 或 m3/d）、 污染物名称、污染物质量浓度（mg/m3）、污染物排放速率（kg/h）、排放规律（连续或间断，间 断排放的给出单位时间内的排放次数，每次持续的时间）、处理措施、排气筒高度（m）、内径 （m）、排气温度（℃）、排放去向、无组织废气排放特征及污染物全年排放总量。
废水污染源排放特征表,制药建设项目,包含,污染物名称,制药建设项目,a）废气污染源排放特征表应包括：污染源名称、所在装置、编号、废气排放量（m3/h 或 m3/d）、 污染物名称、污染物质量浓度（mg/m3）、污染物排放速率（kg/h）、排放规律（连续或间断，间 断排放的给出单位时间内的排放次数，每次持续的时间）、处理措施、排气筒高度（m）、内径 （m）、排气温度（℃）、排放去向、无组织废气排放特征及污染物全年排放总量。
废水污染源排放特征表,制药建设项目,包含,污染物质量浓度,制药建设项目,a）废气污染源排放特征表应包括：污染源名称、所在装置、编号、废气排放量（m3/h 或 m3/d）、 污染物名称、污染物质量浓度（mg/m3）、污染物排放速率（kg/h）、排放规律（连续或间断，间 断排放的给出单位时间内的排放次数，每次持续的时间）、处理措施、排气筒高度（m）、内径 （m）、排气温度（℃）、排放去向、无组织废气排放特征及污染物全年排放总量。
